text,Sexism,Women,Homophobia,Homossexuals,Lesbians,Body,Fat.people,Fat.women,Ugly.people,Ugly.women,Racism
RT @taiannerr: Tem mulher q é burra pqp,1,1,0,0,0,0,0,0,0,0,0
Dá uma rola pras feminazi.quem sabe elas param de falar bosta.,1,0,0,0,0,0,0,0,0,0,0
"SÓ LEMBRANDO,HOJE 08 DE MARÇO É #DiaDaMulher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M - U - L - H - E - R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRA HOMEM QUE USA SAIA,MAQUIAGEM ETC:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEU DIA É O 1º DE ABRIL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PAZ",1,1,0,0,0,0,0,0,0,0,0
"Como ser feminista:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser feia e gorda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagar peitinho em passeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser peluda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odiar homens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E achar q isso fará diferença no mundo.",1,1,0,0,0,1,1,1,1,1,0
"As mulheres n sabem lidar c/ a verdade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontem disse a 1 amiga q ficava melhor d rabo-de-cavalo,começou a chorar e bazou para a quimioterapia",1,1,0,0,0,0,0,0,0,0,0
Uma mulher que não concorda com o feminismo não tem outra definição a não ser burra.,1,1,0,0,0,0,0,0,0,0,0
Magrela feia —_ Sou gorda amor https://t.co/tSU5XTen3m,1,1,0,0,0,1,0,0,1,1,0
@CapitalismoOP tem travesti que parece mais com mulher do que as feministas... pq as feministas parecem macho mal acabados...,1,1,0,0,0,0,0,0,0,0,0
Ter cabelo curto é uma desgraça se sempre tá feia e gorda,1,1,0,0,0,1,1,1,1,1,0
se a menina chama rayane quando faz 15 anos automaticamente fica grávida,1,1,0,0,0,0,0,0,0,0,0
"Uma #MulherDeVerdade é boa de cama,gosta de seduzir,de ser seduzida. Gosta de provocar. E não tem frescurinhas.",1,1,0,0,0,0,0,0,0,0,0
@MateusPapini @AlexiaTonetti frescura no cu dessas nega do mov. negro,1,1,0,0,0,0,0,0,0,0,1
@InesBolsonaro Feminismo é massa de manobra da esquerda. nunca vi feminista reclamando para entrar no exercito https://t.co/FRudxMT0Gj,1,0,0,0,0,0,0,0,0,0,0
Feminista é tudo mal comida,1,0,0,0,0,0,0,0,0,0,0
"Eu não mereço ser estuprada no banheiro feminino por uma mulher trans lésbica!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO a ideologia de gênero",1,1,0,0,0,0,0,0,0,0,0
"""A maior ambição da mulher é despertar o amor."" #MulherDeVerdade",1,1,0,0,0,0,0,0,0,0,0
"Tem amiga,mas morre de vontade é de comê-las!",1,1,0,0,0,0,0,0,0,0,0
"O q essa mulher tem d bonita,ela tem d puta,burra e mentirosa. N sabe ela q ta passando na mão dos amigos",1,1,0,0,0,0,0,0,0,0,0
RT @gabie_rochaa: e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf,1,1,0,0,0,1,1,1,1,1,0
"Se vc bate em mulher,vc é um covarde de merda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se vc bate nessa mulher,além de covarde,com certeza vc gosta de _ https://t.co/TL1ibsiIL4",1,1,0,0,0,0,0,0,0,0,0
"homem nasce homem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulher nasce mulher",1,0,0,0,0,0,0,0,0,0,0
"Tô gorda e n consigo emagrecer,certeza q minha gastrite tá piorando pq só passo mal,n tenho inglês fluente,n sei nadar,sou feia +",1,1,0,0,0,1,1,1,1,1,0
@editorahumanas feliz dia para as mulheres que sorriem !! https://t.co/KpZplmQk3A,1,1,0,0,0,0,0,0,0,0,0
"RT @Vulgo_DiGatta:,feia se achando bela,gorda se achando gostosa. Meus olhos sangram !! ",1,1,0,0,0,1,1,1,1,1,0
@ramonsm16 ela é mais legal eu sei. Só que ela é feia e gorda...,1,1,0,0,0,1,1,1,1,1,0
eu sou oficialmente a mulher mais burra do mundo,1,1,0,0,0,0,0,0,0,0,0
"A travesti Dandara,de 42 anos,foi espancada,torturada e morta por cinco homens em 15 de fevereiro,no bairro... https://t.co/ngogXbtumi",1,1,0,0,0,0,0,0,0,0,0
"Eu cresci ouvindo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""nossa,tu é mulher mesmo?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""nunca vai ter filhos"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""nunca alguem vai te amar"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""vai ficar pra titia,viu?"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""tu é sapatão?""",1,1,0,0,0,0,0,0,0,0,0
"""Queremos igualdade"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulher é homem se aposentarão com a mesma idade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""Isso é injusto!""",1,0,0,0,0,0,0,0,0,0,0
"Uma #MulherDeVerdade não sente inveja: É segura de suas qualidades e capacidades,sem menosprezar as dos outros.",1,1,0,0,0,0,0,0,0,0,0
"RT @thais_inha: #EuParo pq há disparidade salarial,dificuldade de reinserção no mercado,discriminação por ter filhos/estar grávida e dupl _",1,1,0,0,0,0,0,0,0,0,0
"@juliamionn @bibia_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""ela não gosta de você"" ""ela é muito feia e se acha"" ""faz baca"" ""gorda"" ""rodada"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sei lá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passo",1,1,0,0,0,1,1,1,1,1,0
RT @ly_carr: Toda vez que vejo homem comentando que toda feminista é sapatão tenho vontade de gritar no ouvido dele QUEM DERA,1,0,1,1,1,0,0,0,0,0,0
Só podia ser mulher pra reparar roupa https://t.co/rrFyFds3RH,1,1,0,0,0,0,0,0,0,0,0
"""lugar de mulher é na cozinha"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seus machistas de merda,lugar de mulher é onde ela quiser. Desde q pelada. https://t.co/xhKXOHQLlY",1,1,0,0,0,0,0,0,0,0,0
"minha mulher está ministrando um curso de atualização para secretárias do lar no RJ,onde já se viu pendurar pano de prato no ombro!!!",1,1,0,0,0,0,0,0,0,0,0
"""Mulher nova,bonita e carinhosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faz o homem gemer sem sentir dor.."" #MulherDeVerdade",1,1,0,0,0,0,0,0,0,0,0
"Que gorda feia,falsa,comemorando que a Emilly ta no paredão,ridícula",1,1,0,0,0,1,1,1,1,1,0
"Se vc tem um namorado que diz que não olha para as gostosas e que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",1,1,0,0,0,0,0,0,0,0,0
"meu pai veio me perguntar por que mulher é tão burra pra ter filho nova (adolescentes e tal),dei minha opinião e agora ele ta brabo comigo",1,1,0,0,0,0,0,0,0,0,0
"RT @yes_anamia: N aguento mais ser sozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N aguento mais ser gorda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N aguento mais ser feia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N aguento mais ser um peso morto no mundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N ag _",1,1,0,0,0,1,1,1,1,1,0
RT @olhosvioleta_: Hoje é o dia dos seres mais perfeitos do planeta: as mulheres,1,1,0,0,0,0,0,0,0,0,0
Homem que é homem arrota com suco de laranja.,1,0,0,0,0,0,0,0,0,0,0
Até às fufas que dizem ser homens pq gostam do mesmo que eles SÃO MULHERES E MERECEM NA MESMA UM FELIZ dia ,1,1,1,1,1,0,0,0,0,0,0
Falou a q chama as pessoas de burra só pq ela não quer ficar em casa fazendo seu papel de mulher: LAVAR LOUÇA https://t.co/dGba7kK2oy,1,1,0,0,0,0,0,0,0,0,0
"ESQUECI DE FAZER O CADASTRO DA SARAIVA P GANHAR  DESCONTO,SOU A MULHER MAIS BURRA DO BRASIL",1,1,0,0,0,0,0,0,0,0,0
RT @Walgreg: VERDADES QUE PRECISAM SER ESFREGADAS NA CARA DE TODA FEMINISTA. https://t.co/Wji5Q8PCB6,1,0,0,0,0,0,0,0,0,0,0
"Laura Muller,apresenta essa loirinha gostosa de branco atrás de vc?",1,1,0,0,0,0,0,0,0,0,0
"Tá doendo simmm,tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",1,1,0,0,0,0,0,0,0,0,0
"Caindo na Real: Feminista ""descobrindo"" o  feminismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confuso,não Emma?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feminazi tá cagando pra liberdade,querem _ https://t.co/PYPG25jlEb",1,0,0,0,0,0,0,0,0,0,0
Ser mulher é ter que provar todo dia que não é burra e é tão competente quanto qualquer um.,1,1,0,0,0,0,0,0,0,0,0
Feliz dia das mulheres que vieram na embalagem certa! https://t.co/hl3A1wmiXz,1,1,0,0,0,0,0,0,0,0,0
Uma #MulherDeVerdade dá valor às mais belas qualidades dos seres humanos. E dá valor aos amigos verdadeiros.,1,1,0,0,0,0,0,0,0,0,0
"""vc tá feia,gorda,ninguém vai gostar de vc assim"" https://t.co/AepW67xnKF",1,1,0,0,0,1,1,1,1,1,0
